Topic,2025-10-01,2025-10-02,2025-10-03,2025-10-04,2025-10-05,2025-10-06,2025-10-07,2025-10-08,2025-10-09,2025-10-10
"N/A 

There is not enough information in the review to extract any specific issues, requests, or feedback points.",1,0,1,0,1,0,0,1,0,0
Unresolved Problems,1,0,1,1,0,0,1,0,0,0
Food Delivery Issues,0,1,0,0,0,0,1,1,0,0
Delivery Service,0,2,3,1,3,1,5,0,1,0
Unsuccessful Order Conversion,1,0,0,0,0,0,0,0,0,0
"Here are the distinct issues, requests, or feedback points extracted from the review:

Lack of Customer Centricity",0,1,0,0,0,0,0,0,0,0
Unreliable Service Provider,2,4,3,1,2,5,2,3,1,1
Unresponsiveness problems,1,2,1,1,2,0,2,5,2,1
Damaged Products,1,1,0,2,0,0,1,0,1,0
Alternative Options,1,0,0,0,0,1,0,0,0,0
Switching to Competitors,0,1,0,1,0,0,0,0,0,0
Awful Taste,0,1,0,0,0,0,0,0,0,0
Ineffective Issue Resolution.,0,1,0,0,0,0,0,1,0,0
Lack of Notification,0,0,1,0,1,0,0,0,0,1
Health effects,0,0,0,1,0,0,0,0,0,0
Annoying AI Chat Experience,0,2,0,0,0,0,0,1,0,0
Scam,1,0,0,0,1,1,0,0,1,0
Short Cancellation Timeframe,0,0,0,0,0,1,0,0,0,0
Late Orders,2,4,3,2,2,1,4,1,3,0
Unreliable Delivery Partner Assignment,0,0,0,1,1,1,1,0,2,0
Unreliable Order Handling,0,1,1,0,1,0,0,0,1,0
Open Menu Problem Issue,0,0,0,0,1,0,0,0,0,0
Unnecessary Wait Time,0,0,0,0,0,0,0,2,0,0
Duplicate Charges Issue,1,0,1,0,0,0,0,0,0,0
Account Reactivation Needed,0,0,1,0,0,0,0,0,0,0
Wrong Orders Delivered,0,0,0,0,0,1,0,0,1,0
Spoiled Food Order,0,0,1,0,0,0,0,0,0,0
Excessive Platform Fee,2,0,1,0,0,1,1,0,0,0
"Here are the distinct issues and feedback points extracted from the review:

Delivery Partner Issues",0,0,0,0,0,1,0,0,0,0
"Here are the distinct issues and feedback points extracted from the review:

Order Confirmation Issues",0,0,0,0,0,1,0,0,0,0
Inaccurate Delivery,1,3,1,0,2,1,0,1,1,0
Stale Chicken Order,0,0,0,0,1,0,0,0,0,0
Price Gouging,0,0,0,0,0,0,0,1,0,0
Driver Allocation Algorithm,0,0,0,0,0,0,0,1,0,0
Quality,1,1,0,0,1,1,0,0,2,0
Restaurant Availability Confusion,0,0,0,0,1,0,0,0,0,0
Product Authenticity Issue,0,0,0,0,0,0,1,0,0,0
Faulty Food Orders,0,0,0,0,0,0,1,0,0,0
"N/A 

The review is too short and doesn't contain any descriptive text.",0,0,0,0,0,1,0,0,0,0
Order Confirmation Issues,0,0,0,0,1,0,0,0,1,0
No Update Provided,0,0,0,0,1,0,0,0,0,0
No Complaint Mechanism,0,0,0,1,0,0,0,0,0,0
Loss of Money,0,0,1,0,0,0,1,0,1,0
Incorrect Address Display,0,2,0,0,1,0,0,0,0,0
Company Trust,0,0,0,0,0,0,0,0,1,0
Time Waste,0,0,1,0,0,1,0,0,1,0
Bad Experience,0,0,1,0,1,0,0,0,0,0
Broken Promises,0,0,1,0,0,1,0,1,0,0
Excessive Advertising,1,0,1,1,1,1,0,0,0,0
Distance,0,1,0,0,0,0,0,0,0,0
Unresponsive Delivery Partner Assignment,0,0,1,1,1,1,0,0,1,0
"Here are the distinct issues, requests, or feedback points extracted from the review:

Order Not Prepared Correctly",0,0,0,0,0,0,0,1,0,0
"N/A 

There is not enough information in the review to identify any specific issues, requests, or feedback points. The review only contains a positive statement about the app's performance.",0,0,0,0,0,0,0,0,1,0
Nice App,0,0,0,1,0,0,0,0,0,0
Cheating Scam,0,0,0,1,0,0,0,0,0,0
Inconsiderate Policy Makers,0,0,0,0,0,0,1,0,0,0
Poor Service Provider,2,1,4,1,0,0,4,2,1,0
Fair Pricing Practice,1,0,0,0,1,0,0,0,0,0
"Here are the distinct issues, requests, or feedback points extracted from the review:

Non-delivery of food",0,0,0,0,1,0,0,0,0,0
High Charges,0,0,0,0,0,0,0,1,1,0
Cold Food,0,0,0,1,0,0,0,1,1,0
Unclear Communication,1,0,0,0,1,0,0,0,0,0
Delivery Boy Issues,0,0,0,0,1,0,0,0,0,0
Competitor Comparison,1,0,0,0,0,0,0,0,0,0
"Here are the distinct issues, requests, or feedback points extracted from the review:

Defective Power Bank",0,0,0,1,0,0,0,0,0,0
Lack of Updates,0,1,0,0,0,0,0,0,0,0
Speed,1,0,2,2,3,0,1,0,1,1
Unfair Customer Burden,0,0,0,1,0,0,0,0,0,0
Delivery Agent Positioning,0,1,0,0,0,0,0,0,0,0
Surge Pricing Problem,0,0,1,0,1,0,0,0,0,0
"N/A 

(This review is very positive and does not mention any specific issues or feedback points.)",0,0,0,0,1,0,0,0,0,0
SIM Card Issues,0,0,0,0,1,0,0,0,0,0
Inconsistent Food Quality.,0,0,0,0,0,0,0,0,1,0
Distance Accuracy,0,0,1,1,0,0,1,0,0,0
Lack of Care,0,1,0,0,0,0,1,0,0,0
Frustrating Hunger Experience,1,0,0,0,0,0,0,0,0,0
Worst Service Experience,0,0,0,0,0,0,2,0,1,0
Bad Quality Food,0,1,0,0,0,0,1,0,0,0
Eroding Customer Trust,0,0,0,1,0,0,0,0,1,0
Inadequate Compensation Offered.,2,0,1,0,1,0,0,1,0,0
Delivery Person,0,1,0,1,0,0,0,0,0,0
Lack of Resolution,0,0,0,0,1,2,0,0,0,0
Credibility of Notifications,0,0,0,0,0,0,0,0,1,0
Misleading Customer Service,1,0,0,0,0,0,0,1,0,0
Time Wasted,0,0,0,0,1,0,0,0,0,0
Charging for Delivery,0,0,0,0,1,0,0,0,2,0
Fasting benefits,0,0,0,1,0,0,0,0,0,0
Delivery Experience,1,2,0,1,2,0,0,1,1,0
Restaurant Location,1,0,0,0,0,0,0,0,0,0
"Here are the distinct issues, requests, or feedback points extracted from the review:

Incapable Support Team",1,0,0,0,0,0,0,0,0,0
Disrespectful Treatment by Swiggy,0,0,0,0,0,0,0,1,0,0
Order Not Found,0,0,0,0,0,0,1,0,0,0
Delivery service quality.,0,2,1,1,0,0,1,1,1,0
Attitude Towards Delivery,0,0,0,0,0,0,1,0,0,0
Unfair Charge Refund Policy,0,1,0,1,0,0,0,0,1,0
"Here are the distinct issues, requests, or feedback points extracted from the review:

Cancellation Fee Charges",0,0,0,0,0,1,0,0,0,0
Service Improvement Needed,0,0,0,0,0,0,0,1,0,0
Fake Golden Membership Offer,0,0,1,0,0,0,0,0,0,0
Harassment by Company,0,0,0,0,1,0,0,0,0,0
Unresolved Food Complaint,0,0,0,0,0,1,0,0,0,0
"Here are the distinct issues, requests, or feedback points extracted from the review:

Order Cancellation Issue",0,0,0,0,0,1,0,0,0,0
Hang Ups,1,0,0,0,0,0,0,0,0,0
No Response from Customer Care,0,0,0,0,1,0,0,1,0,0
Experience,0,0,1,0,0,0,0,0,0,0
"Here are the distinct issues and feedback points extracted from the review:

Fraudulent Delivery Partner",0,0,0,0,0,0,0,0,1,0
Delivery Time Inquiry,1,2,1,1,0,1,1,0,1,0
Unprofessional Behavior,1,1,1,0,0,0,2,1,0,0
Missing Order Item,1,7,3,3,2,4,2,1,1,0
Refund Policy Problems,1,1,1,1,4,3,0,1,0,0
Misleading Promotions.,1,1,0,0,0,1,0,1,0,0
Coupon Discount Issue,1,0,0,1,1,1,0,1,1,0
Application Usefulness,0,0,0,0,0,0,1,0,0,0
Order Placement Problem,0,0,0,0,0,0,1,0,0,0
Delivery Timing,2,3,1,3,4,5,3,7,2,0
Stale Food Issue,0,0,0,0,0,0,1,0,0,0
Out of Stock Product,1,1,0,0,0,1,0,1,0,0
Lack of Control Over Partners,0,0,0,1,0,0,0,0,0,0
Useless App Experience,0,0,0,0,0,0,0,1,0,0
Customer Support Problems,4,4,3,1,2,5,3,4,0,0
"N/A 

There is no review provided. Please provide the actual review for me to extract key topics from.",0,0,0,1,0,0,0,0,0,0
Lack of Acknowledgment,0,0,1,0,0,1,0,0,0,0
No Service,0,0,0,0,1,0,0,0,0,0
"Here are the distinct issues, requests, or feedback points extracted from the review:

Lack of Support",0,0,0,0,0,0,0,0,1,0
Swiggy Service,0,0,0,0,1,1,1,0,0,0
Location Selection Process,0,0,0,0,0,1,0,0,0,0
"N/A 

The review appears to be a complaint about the rating of an app, but it's unclear what specific issues are being referred to. The text contains grammatical errors and doesn't provide clear feedback points.",0,0,0,0,1,0,0,0,0,0
Late Delivery,8,11,9,9,7,9,15,8,8,2
Time,0,0,2,0,1,0,0,0,0,0
No Agent Contact,0,0,0,0,0,1,0,0,0,0
Payment System Problem,0,0,0,0,0,0,1,0,0,0
Delivery Quality,0,0,0,0,0,0,0,1,1,0
"N/A 

There is not enough information in the review to identify distinct issues, requests, or feedback points. The text appears to be a list of names with ""F"" preceding each one, but it does not provide any context or description of problems or suggestions.",0,0,1,0,0,0,0,0,0,0
Account Location Error,0,2,0,0,0,0,0,0,0,0
"N/A 

(Note: The review is just the word ""bekar"", which doesn't provide any context or information for me to extract distinct issues, requests, or feedback points.)",0,0,0,0,0,0,1,0,0,0
Lack of Support,2,0,0,0,0,3,1,1,0,0
"I don't think I can extract any specific issues or feedback points from the review as it appears to be a Hindi phrase that translates to ""Please arrive quickly"" in English. It's more of an expression than a detailed review.

However, if I had to break it down into a topic:

Delivery Time",0,0,0,0,0,0,0,1,0,0
Unwanted COD Charge,0,0,0,0,0,0,0,0,1,0
Poor Food Packaging,0,1,0,0,1,1,0,0,0,0
Ice Cream Brick Needed,1,0,0,0,0,0,0,0,0,0
No Time Limits,0,0,0,0,0,1,0,0,0,0
Service,1,1,1,3,2,1,0,1,1,0
Maps,0,1,0,0,0,0,0,0,0,0
No Help Option Available,0,0,0,0,0,1,0,0,0,0
Fake Refund ID,0,0,0,0,0,0,0,1,0,0
Blame Shifting,0,0,0,0,0,0,0,0,1,0
Outdated Customer Service Platform.,0,1,0,0,0,0,0,0,0,0
Unauthorised Order Placement,0,0,0,0,1,0,0,0,0,0
Unresolved Complaints,1,0,0,1,0,1,0,0,0,0
Unable to View Review,1,0,0,0,0,0,0,0,0,0
Bug in Search Bar,0,0,0,0,0,0,2,0,0,0
Delayed Cancellation Request,1,0,0,0,0,0,0,0,0,0
I'm not able to extract any meaningful information from the review as it appears to be in a language I don't recognize. Could you please provide the review in English or another language that I can understand?,0,0,1,0,0,0,0,0,0,0
Critical Fault Found,0,0,0,1,0,0,0,0,0,0
Fraudulent Practices by Swiggy,0,0,0,0,0,0,1,0,0,0
Duplicate Order Issue,0,0,0,0,0,0,0,0,1,0
Unfair Cost Compensation.,0,0,0,0,0,0,0,0,1,0
"Here are the distinct issues, requests, or feedback points extracted from the review:

Customer Support Removed",0,1,0,0,0,0,0,0,0,0
Food Stolen by Company,0,0,1,0,0,0,0,0,0,0
"N/A 

There is no text in the review to extract topics from.",0,1,0,0,0,0,0,0,2,0
Time Wasting Experience,0,0,0,0,0,0,1,1,1,0
Fake App,0,0,0,0,0,1,0,0,0,0
Frustration with Service,1,0,0,0,0,0,0,0,0,0
Account Suspension,0,0,0,0,0,0,0,0,1,0
Ease of Access,0,0,0,0,1,0,0,0,0,0
Login Issues,0,0,0,0,0,0,0,0,1,0
Cake Order Discrepancy,0,0,0,0,0,0,0,0,1,0
Food Delivery Option,0,0,0,0,1,0,0,0,0,0
Payment Issue with App,2,2,0,0,0,1,1,0,1,0
Poor Communication.,1,2,1,0,2,0,2,2,2,1
Wait Time for Delivery.,0,0,0,0,1,0,0,0,0,0
Stability Issues,0,0,0,0,1,0,0,0,1,0
Cheating by Swiggy Instamart,0,0,1,0,0,0,0,0,0,0
Scammer,0,0,1,0,0,0,0,0,1,0
No Cancellation Option,0,0,1,0,2,0,0,0,0,0
Unresolved Order Issues,2,0,0,0,0,0,0,0,0,1
"Here are the distinct issues, requests, or feedback points extracted from the review:

Poor Quality Eggs",0,0,0,0,1,0,0,0,0,0
Packaging Issue,0,0,0,0,1,1,0,0,0,0
Robbery Practices,0,0,0,0,0,1,0,0,0,0
Order Taking Issue,0,0,0,0,1,0,1,0,0,0
Misrepresentation,0,0,0,1,0,0,0,0,0,0
Customer Delivery Service,0,0,0,0,0,1,0,0,0,0
Unreliable Delivery.,0,1,1,0,0,1,4,2,0,0
App Reliability,2,1,2,0,1,2,3,0,1,0
Product failure,1,0,0,0,0,0,0,0,0,0
App Quality,2,2,1,1,2,0,0,2,0,0
Unaccountable Delivery Agency,0,1,0,0,0,0,0,0,0,0
Poor Partner Support,0,0,0,0,1,0,0,0,0,0
Worst Experience,0,0,2,0,0,0,0,0,0,0
Inconvenient User Experience,0,1,0,0,0,0,0,0,0,0
Advance Ordering Feature,1,0,0,0,0,0,0,0,0,0
"Here are the distinct issues and feedback points extracted from the review:

Cancellation Policy",0,0,1,0,0,0,0,0,0,0
Incomplete Order Delivery,0,0,0,1,1,0,0,0,0,0
Display of DOM Issue,0,0,0,0,0,0,1,0,0,0
Unfair Penalty Charges,0,0,1,0,0,0,0,0,0,0
Food Offers,0,0,0,0,0,0,0,0,1,0
Abuse of Customer Wallet,0,0,0,0,0,0,0,1,0,0
Bad Customer Service,1,1,0,1,0,1,0,2,1,0
False Advertising,0,1,0,0,0,0,0,0,1,0
Lack of Order Status Update,0,0,0,2,0,0,1,2,0,0
Ease of Movement,0,0,0,0,1,0,0,0,0,0
Restaurant Communication Issues,0,0,0,0,0,0,1,1,0,1
Bad Behaviour,0,0,0,0,0,1,0,0,0,0
Unfair Cancelation Policy,4,1,2,3,3,1,2,1,1,0
"I was expecting an English review. It seems like the review is in Hindi.

However, I can try to extract some possible topics from it:

App Not Working Properly",1,0,0,0,0,0,0,0,0,0
"N/A 

There is not enough text to extract any key topics. The review only contains a name (""Ashish Patel"").",0,0,0,1,0,0,0,0,0,0
"Here are the distinct issues, requests, or feedback points extracted from the review:

Missing Items Issue",0,0,0,0,0,0,0,0,1,0
Missing Order,0,1,1,1,1,0,0,1,0,0
Unfair Billing Practices,0,0,2,0,1,3,1,1,0,0
Unfair Price,0,0,1,0,1,0,0,3,0,0
Inconvenient Complaint Process,0,0,0,0,0,0,0,1,0,0
Demand,0,1,0,0,0,0,0,0,0,0
Hidden Location Restrictions,0,0,0,0,0,0,0,0,1,0
Long Wait for Food,0,1,0,0,0,0,0,0,0,0
Sharam Karna,0,0,0,0,0,0,1,0,0,0
Unrealistic Delivery Promises,0,0,0,0,0,0,0,0,1,0
"N/A 

There is only an emoticon in the review.",0,1,0,0,1,0,0,1,0,0
"N/A 

(This review is just an emoji and does not contain any text to extract topics from.)",2,1,1,1,3,0,0,4,0,0
App Fraud,0,0,0,1,0,0,0,0,0,0
Careless Delivery,0,0,0,0,0,1,0,0,0,0
Poor Value for Money,0,0,0,0,0,0,1,0,0,1
"Here are the distinct issues and feedback points extracted from the review:

Defective Product Delivery",0,0,0,0,0,1,0,0,0,0
Cancellation Policy Issue,2,1,0,1,1,2,4,0,3,0
Unintentional Order,0,0,1,0,0,0,0,0,0,0
Image Upload Limitation,0,0,0,0,0,0,0,1,0,0
Address Change Problem,0,1,0,0,0,0,0,0,0,0
Spam,0,1,0,0,0,0,0,0,0,0
Price Display Issue,0,0,0,0,0,0,1,0,0,0
Fake Restaurants,0,0,0,1,0,0,0,0,0,0
I don't see any text in the review. Please provide the actual review for me to extract key topics from.,0,1,0,0,0,0,0,0,1,0
"Here are the key topics extracted from the review:

N/A",0,0,0,0,0,0,1,0,0,0
High Prices on Swiggy.,0,0,1,0,0,0,0,0,0,0
Money Held Incorrectly,0,0,0,0,0,0,0,1,0,0
Swiggy App Experience,1,0,0,0,0,0,0,0,0,0
Fast Delivery App,0,0,0,0,1,1,0,0,0,0
Delivery Agent Scams,1,0,0,0,0,0,0,0,0,0
"The distinct issues, requests, or feedback points from the review are:

Security",0,1,0,0,0,0,0,0,0,0
Recommendation to Use Competitor (Zomato),0,0,0,0,0,1,1,1,0,0
Change Policy Inconsistency,0,0,0,0,0,0,2,0,0,0
"N/A 

There is not enough text to extract any key topics.",0,1,1,0,1,0,1,0,0,0
Request for More Chutney,1,0,0,0,0,0,0,0,0,0
Inadequate Corrective Action.,0,0,1,0,0,0,0,0,0,0
Unexpected Price Increase,0,1,0,0,0,0,0,0,0,0
Order Price,0,0,0,0,1,0,0,0,0,0
Exploitative Business Practice,0,0,0,0,0,0,1,0,0,0
Usefulness for Hostel Guests,0,0,0,0,0,0,0,0,1,0
App Performance,3,2,1,2,1,2,1,2,3,0
Membership Benefits Not Honored,0,0,0,0,0,0,0,1,0,0
Swiggy App Problems,0,0,0,0,0,1,0,0,0,0
Unprofessional Delivery Boy,0,0,1,0,0,0,0,0,0,0
Poor Presentation,0,1,0,0,0,0,0,0,0,0
"N/A 

(This review is too brief to extract any specific issues or feedback points)",0,0,0,0,1,0,0,0,0,0
Customer Service,2,1,6,1,0,5,3,3,4,0
"N/A 

There is no mention of specific issues, requests, or feedback points in the review. The review is a positive statement praising the app.",0,0,1,0,0,0,0,0,0,0
Late Delivery Refund Policy,0,0,1,0,0,1,0,0,0,0
Multiple Address Selection Issue,0,0,0,0,0,0,0,1,0,0
Poor Work Ethic,0,0,0,0,0,1,0,0,0,0
Potential Legal Issues,0,0,0,0,1,0,0,0,0,0
Lack of Efficiency,0,0,0,0,0,1,0,0,0,0
Unaddressable Issues,0,0,0,0,0,0,0,1,0,0
I'm unable to extract any meaningful information from the review as it appears to be gibberish. Response: N/A,0,0,0,0,0,0,0,1,0,0
Unrelated Food Orders,0,0,0,0,1,0,0,0,0,0
"Here are the distinct issues, requests, or feedback points extracted from the review:

Incorrect Distance Calculation",0,0,0,0,0,0,0,1,0,0
Taste,0,1,0,0,0,0,0,0,0,0
Delivery Option Availability,0,1,0,0,0,0,0,0,0,0
App Cancellation Issue,0,0,1,0,0,0,0,0,0,0
Needs Improvement,0,0,1,0,0,0,0,1,0,0
Decreased Quality of Service.,0,0,0,0,2,0,1,0,0,0
Scattered Food,0,0,0,0,0,0,0,1,0,0
Unfair Business Practices,1,0,1,1,0,0,0,0,1,1
Poor Food Partners,1,0,0,0,0,0,0,0,0,0
Lack of Relevant Solutions,0,0,0,0,1,0,0,0,0,1
Delivery Scams,0,0,0,0,1,0,0,0,0,0
Worst App Experience,0,1,0,1,0,0,0,0,0,0
Inadequate Communication,0,0,0,0,0,0,0,1,0,0
Customer Safety Compromised,0,0,1,0,0,0,0,0,0,0
Lack of Transparency,0,0,1,0,0,0,0,1,0,0
"N/A 

(Note: The review is a Hindi phrase that translates to ""very bad"", but it doesn't provide any specific details or feedback points.)",0,0,0,0,0,0,0,1,0,0
Unintended Payment Request,1,0,0,0,0,0,0,0,0,0
Unmet Expectations,0,0,0,1,0,0,0,0,0,0
Unfair Fee Charges,0,2,0,0,0,0,1,0,0,0
Poor Restaurant Management,0,1,0,0,0,0,0,0,0,0
Addressing Issues,0,1,0,0,0,0,0,0,0,0
Inconsiderate Company Policy,0,0,0,0,0,0,0,1,0,0
Order Not Cancelled,0,0,0,0,1,0,0,0,0,0
Poor Delivery Service,4,3,1,2,1,2,1,3,3,0
Coupon Fraud,0,0,0,0,0,0,1,0,0,0
Customer Recommendation,1,0,0,0,0,0,0,0,0,0
Bad Delivery Experience,0,0,0,1,0,1,0,0,0,0
App Recommendation,0,0,0,0,1,0,0,0,0,0
Lack of Problem Solving,0,0,0,0,0,0,1,0,0,0
Dark pattern use,0,0,1,0,0,0,0,0,0,0
Request for Offer,0,0,0,1,0,0,1,0,0,0
Offers Needed,0,0,0,0,0,0,0,1,0,0
Incorrect Order Preparation,0,0,0,0,0,1,0,0,0,0
Scam Membership Program,0,0,1,0,0,0,0,0,0,0
Lack of Personalization,0,1,0,0,0,0,0,0,0,0
"N/A 

There is no text to extract topics from.",0,0,0,0,0,0,0,1,1,0
Tracking System,0,0,0,0,0,0,1,0,0,0
Incorrect Order Placement,0,0,0,0,0,0,0,0,0,1
Time Experience,0,0,0,1,0,0,0,0,0,0
Urgent Service Needed,0,1,0,0,0,0,0,0,0,0
Scam Alert,0,1,0,0,0,0,0,0,0,0
"Here are the distinct issues, requests, or feedback points extracted from the review:

Incorrect Order Delivery",0,0,0,0,1,0,0,0,0,0
Disappointment,0,0,1,1,0,0,0,0,0,0
Lost Account Balance,0,0,0,0,0,1,0,0,0,0
Express Scams,1,0,0,0,0,0,0,0,0,0
Delivery Boy Scam,0,0,1,0,0,0,0,0,0,0
Waste App,0,0,0,0,1,0,0,0,0,0
Expired Items in Stock,0,0,0,1,0,0,0,0,0,0
Food Taken Without Payment,0,0,0,0,0,1,0,0,0,0
Food Availability,0,0,0,0,2,1,0,0,0,0
Allow Cancellation Option,0,0,0,0,0,0,1,1,0,0
Unhelpful Experts,0,0,0,0,0,0,0,1,0,0
Predefined Answers,0,0,0,0,1,0,0,0,0,0
Unresolved Issue Repeatedly,0,0,0,0,0,0,1,0,0,0
Inadequate Refund Policy.,0,0,0,1,1,0,0,0,0,0
Weight loss.,0,0,0,1,0,0,0,0,0,0
"Here are the distinct issues, requests, or feedback points extracted from the review:

Accidental Order",0,0,0,0,1,0,0,0,0,0
